feature,bin_index,bin,count,bads,bad_rate,population_share,woe,iv,points
EXT_SOURCE_1,4,"(0.437, 0.5054]",9381,625,0.06662402728920158,0.04358046428223008,-0.2138887678594513,0.1468174072968093,40.3
EXT_SOURCE_1,5,"(0.5054, 0.5727]",9381,573,0.06108090821874001,0.04358046428223008,-0.3066030438514675,0.1468174072968093,41.7
EXT_SOURCE_1,6,"(0.5727, 0.64]",9381,481,0.05127385140176954,0.04358046428223008,-0.4918450397330054,0.1468174072968093,44.4
EXT_SOURCE_1,7,"(0.64, 0.7101]",9381,411,0.04381196034537896,0.04358046428223008,-0.6567762117960125,0.1468174072968093,46.9
EXT_SOURCE_1,8,"(0.7101, 0.7867]",9381,328,0.03496428952137299,0.04358046428223008,-0.8912584013897301,0.1468174072968093,50.4
EXT_SOURCE_1,9,"(0.7867, inf]",9382,258,0.027499467064591773,0.043585109891896665,-1.1387112255340839,0.1468174072968093,54.0
EXT_SOURCE_1,10,missing,121446,10456,0.08609587800339245,0.5641907115680326,0.06289064549463463,0.1468174072968093,36.2
EMPLOYED_YEARS,0,"(-inf, 2.097]",44062,5015,0.1138168943761064,0.2046948531290504,0.3727615371241011,0.11379007980715324,32.4
EMPLOYED_YEARS,1,"(2.097, 2.513]",8837,965,0.10919995473577006,0.04105325262360806,0.32652242242582824,0.11379007980715324,33.0
EMPLOYED_YEARS,2,"(2.513, 2.954]",8815,947,0.10743051616562677,0.0409510492109432,0.308211484448101,0.11379007980715324,33.2
EMPLOYED_YEARS,3,"(2.954, 3.956]",17670,1779,0.10067911714770798,0.08208792280854978,0.23555532441415164,0.11379007980715324,34.2
EMPLOYED_YEARS,4,"(3.956, 4.515]",8814,803,0.09110506013160881,0.04094640360127661,0.12535117026207152,0.11379007980715324,35.6
EMPLOYED_YEARS,5,"(4.515, 5.123]",8840,800,0.09049773755656108,0.041067189452607816,0.11799725667512868,0.11379007980715324,35.7
EMPLOYED_YEARS,6,"(5.123, 5.911]",8828,724,0.08201178069777978,0.041011442136608796,0.010314293340945557,0.11379007980715324,37.0
EMPLOYED_YEARS,7,"(5.911, 6.721]",8838,695,0.0786377008372935,0.041057898233274645,-0.035337057117679205,0.11379007980715324,37.6
EMPLOYED_YEARS,8,"(6.721, 8.679]",17646,1239,0.07021421285277117,0.08197642817655175,-0.158023201340194,0.11379007980715324,39.1
EMPLOYED_YEARS,9,"(8.679, 10.03]",8817,583,0.06612226380855166,0.04096034043027637,-0.22203619905521377,0.11379007980715324,39.9
EMPLOYED_YEARS,10,"(10.03, 11.96]",8835,518,0.058630447085455575,0.04104396140427489,-0.35016970669061115,0.11379007980715324,41.6
EMPLOYED_YEARS,11,"(11.96, 14.59]",8823,481,0.054516604329593106,0.040988214088275875,-0.4272047058549102,0.11379007980715324,42.5
EMPLOYED_YEARS,12,"(14.59, 19.96]",8821,436,0.04942750255073121,0.040978922868942703,-0.530463653959587,0.11379007980715324,43.8
EMPLOYED_YEARS,13,"(19.96, inf]",8828,380,0.043044857272315364,0.041011442136608796,-0.6752507389665251,0.11379007980715324,45.7
EMPLOYED_YEARS,14,missing,38783,2126,0.05481783255550112,0.18017067969915032,-0.4221333366251073,0.11379007980715324,42.5
AGE_YEARS,0,"(-inf, 25.73]",10758,1319,0.12260643242238334,0.04997746879311706,0.45727900428627244,0.08543878807965585,39.7
AGE_YEARS,1,"(25.73, 28.15]",10761,1217,0.11309357866369296,0.04999140562211682,0.3657636435937801,0.08543878807965585,39.2
AGE_YEARS,2,"(28.15, 30.11]",10767,1202,0.11163741060648277,0.050019279280116326,0.35116898753447195,0.08543878807965585,39.1
AGE_YEARS,3,"(30.11, 31.99]",10765,1135,0.10543427775197399,0.050009988060783155,0.2870670769993277,0.08543878807965585,38.8
AGE_YEARS,4,"(31.99, 33.96]",10761,1086,0.10091998884862002,0.04999140562211682,0.23829374352527408,0.08543878807965585,38.5
AGE_YEARS,5,"(33.96, 35.97]",10751,1046,0.09729327504418193,0.04994494952545097,0.1976876677529002,0.08543878807965585,38.3
AGE_YEARS,6,"(35.97, 37.72]",10762,985,0.0915257387102769,0.049996051231783405,0.1302391599410974,0.08543878807965585,37.9
AGE_YEARS,7,"(37.72, 39.46]",10775,912,0.08464037122969838,0.050056444157449004,0.044520871250714834,0.08543878807965585,37.4
AGE_YEARS,8,"(39.46, 41.25]",10764,889,0.08259011519881085,0.05000534245111657,0.01777642568496914,0.08543878807965585,37.2
AGE_YEARS,9,"(41.25, 47.16]",32290,2524,0.07816661505109941,0.15000673613401655,-0.04241143679970028,0.08543878807965585,36.9
AGE_YEARS,10,"(47.16, 49.38]",10755,782,0.07271036727103673,0.04996353196411731,-0.12026379211831942,0.08543878807965585,36.5
